"id","document_id","item_id","sup_id","unit_price","vat","quoted_qty","bid_no","quote_date","rfq_no","total","bid_document"
"320","TD21121368","Item211213198","SUP229","67500","excl","2","6","2021-12-08","10216732","899999","bids/1639396393Xerox Scan_09122021132901.PDF"
"321","TD21121368","Item21121378","SUP229","213750","excl","1","6","2021-12-08","10216732","899999","bids/1639396393Xerox Scan_09122021132901.PDF"
"322","TD21121368","Item211213668","SUP327","19500","excl","2","7","2021-12-08","10216732","925600","bids/1639396490Xerox Scan_09122021132921.PDF"
"323","TD21121368","Item211213427","SUP327","0","excl.","0","7","2021-12-08","10216732","925600","bids/1639396490Xerox Scan_09122021132921.PDF"
"324","TD21121368","Item211213108","SUP327","115100","excl","2","7","2021-12-08","10216732","925600","bids/1639396490Xerox Scan_09122021132921.PDF"
"325","TD21121368","Item211213555","SUP327","64350","excl","2","7","2021-12-08","10216732","925600","bids/1639396490Xerox Scan_09122021132921.PDF"
"326","TD21121368","Item211213913","SUP327","41500","excl","2","7","2021-12-08","10216732","925600","bids/1639396490Xerox Scan_09122021132921.PDF"
"327","TD21121368","Item211213799","SUP327","47150","excl","2","7","2021-12-08","10216732","925600","bids/1639396490Xerox Scan_09122021132921.PDF"
"328","TD21121368","Item211213198","SUP327","90150","excl","2","7","2021-12-08","10216732","925600","bids/1639396490Xerox Scan_09122021132921.PDF"
"329","TD21121368","Item21121378","SUP327","170100","excl","1","7","2021-12-08","10216732","925600","bids/1639396490Xerox Scan_09122021132921.PDF"
"330","TD21121368","Item211213668","SUP752","20000","excl","2","8","2021-12-08","10216732","990000","bids/1639396544Xerox Scan_09122021132940.PDF"
"331","TD21121368","Item211213427","SUP752","26000","excl","2","8","2021-12-08","10216732","990000","bids/1639396544Xerox Scan_09122021132940.PDF"
"332","TD21121368","Item211213108","SUP752","115000","excl","2","8","2021-12-08","10216732","990000","bids/1639396544Xerox Scan_09122021132940.PDF"
"333","TD21121368","Item211213555","SUP752","65000","excl","2","8","2021-12-08","10216732","990000","bids/1639396544Xerox Scan_09122021132940.PDF"
"334","TD21121368","Item211213913","SUP752","41000","excl","2","8","2021-12-08","10216732","990000","bids/1639396544Xerox Scan_09122021132940.PDF"
"335","TD21121368","Item211213799","SUP752","47000","excl","2","8","2021-12-08","10216732","990000","bids/1639396544Xerox Scan_09122021132940.PDF"
"336","TD21121368","Item211213198","SUP752","91000","excl","2","8","2021-12-08","10216732","990000","bids/1639396544Xerox Scan_09122021132940.PDF"
